Bill_No,F_TASTE,F_PRESENT,F_TEMPERA,S_QUALITY,S_COURTESY,S_PROMPTNE,A_REMARKS,COUNTRY,TABLE_NO,SALE,excellent,worse,awesome,good
56,1,1,1,1,1,1,1St Floor Blown Ac Should Be More Powerful In Delhi Summer,India,49,18589,FALSE,FALSE,FALSE,FALSE
57,1,2,1,1,1,1,Good Food,India,32,9500,FALSE,FALSE,FALSE,TRUE
58,1,1,1,1,1,1,Amazing Enjoyed A Lot Had A Lot Of Fun And Amazing ,India,12,15014,FALSE,FALSE,FALSE,FALSE
59,1,1,1,1,1,1,Great,India,49,13469,FALSE,FALSE,FALSE,FALSE
60,1,1,1,1,1,1,Jet Is A Perfect Host Keep It Up ,India,39,1986,FALSE,FALSE,FALSE,FALSE
61,1,1,1,1,1,1,Noting Please Keep It Up,India,24,5878,FALSE,FALSE,FALSE,FALSE
62,1,1,1,1,1,1,Maher Bares,India,2,17979,FALSE,FALSE,FALSE,FALSE
63,1,1,1,1,1,1,Good Food Good Senile Thanks,India,18,7404,FALSE,FALSE,FALSE,TRUE
64,1,1,1,1,1,1,Excellent Cant Be Improved,India,49,617,TRUE,FALSE,FALSE,FALSE
65,1,1,1,1,1,1,We Have Been Coming For A Viv Long Time Love It,India,35,14979,FALSE,FALSE,FALSE,FALSE
66,3,1,1,1,1,1,Rare Gosh Taste Very Different From Usual Not As Good,India,48,2662,FALSE,FALSE,FALSE,TRUE
67,1,2,2,2,1,1,Good Food Keep It Up,India,4,19629,FALSE,FALSE,FALSE,TRUE
68,1,2,1,2,2,2,Amavsyoti Boruah,India,46,10922,FALSE,FALSE,FALSE,FALSE
69,1,2,2,2,2,2,Nishchint Juneja,India,1,6256,FALSE,FALSE,FALSE,FALSE
70,1,1,1,1,1,1,Thank You,India,29,5216,FALSE,FALSE,FALSE,FALSE
71,2,2,2,2,2,2,Good Luck,India,39,6083,FALSE,FALSE,FALSE,TRUE
72,1,1,1,1,1,1,All Of Yours Are Improved,India,16,16902,FALSE,FALSE,FALSE,FALSE
73,1,1,1,1,1,1,Keep It Up With Same,India,30,3802,FALSE,FALSE,FALSE,FALSE
